Satisfaction Score,Online Security,Contract,Senior Citizen,Number of Referrals,Dependents,Tenure in Months,Internet Service,Paperless Billing,Total Extra Data Charges,Payment Method,Referred a Friend,Streaming Music,Streaming Movies,Monthly Charge,Total Revenue,Device Protection Plan
4,0,2,0,0,0,46,0,0,0,1,0,0,0,19.2,2333.69,0
5,0,2,1,9,1,24,1,1,0,0,1,1,1,96.55,2762.17,1
4,0,2,0,1,0,72,0,0,0,1,1,0,0,26.45,3514.34,0
4,1,2,0,3,1,64,1,1,0,0,1,1,1,60.05,3845.45,1
2,0,0,1,1,0,18,1,1,0,0,1,1,1,48.35,810.7,1
4,0,0,0,7,1,10,0,1,0,1,1,0,0,20.05,356.8,0
3,0,0,0,4,1,39,1,1,0,1,1,0,0,59.85,4218.96,1
5,0,1,1,2,0,26,1,0,0,1,1,0,1,60.7,2042.52,1
3,0,0,0,0,0,8,0,0,0,1,0,0,0,19.2,271.40999999999997,0
5,0,0,0,1,1,27,1,0,140,0,1,1,1,71.6,2462.95,0
3,1,0,0,3,0,9,1,1,0,0,1,1,1,88.05,1002.99,0
5,0,0,0,0,0,31,1,1,0,0,0,0,0,76.05,3429.9800000000005,0
5,0,2,0,0,0,24,0,1,0,0,0,0,0,19.55,725.56,0
3,1,0,0,0,0,42,1,0,0,0,0,0,0,59.65,3463.91,1
5,0,2,1,0,0,72,1,1,0,0,0,1,1,108.1,9708.69,1
3,0,0,0,0,0,6,1,1,0,0,0,1,1,84.4,688.1700000000001,0
1,0,0,0,0,0,9,1,1,20,0,0,1,1,45.4,438.8,0
4,0,2,0,6,1,13,0,0,0,1,1,0,0,20.85,631.4100000000001,0
3,1,2,0,0,0,31,1,1,0,0,0,1,1,49.85,1520.1,0
3,0,0,0,0,0,2,1,1,0,1,0,0,0,40.4,77.15,1
5,0,2,0,8,0,8,0,1,0,1,1,0,0,19.85,283.32,0
5,0,2,1,0,0,24,0,1,0,1,0,0,0,20.3,901.31,0
5,0,2,0,0,0,69,0,0,0,1,0,0,0,24.6,4168.13,0
5,0,0,0,0,0,7,1,1,0,0,0,1,1,94.1,752.89,0
4,0,2,0,10,1,68,0,0,0,0,1,0,0,25.4,2908.98,0
1,0,0,1,1,0,58,1,1,0,0,1,1,1,98.7,5997.04,1
1,0,0,0,0,0,10,1,1,110,0,0,1,1,98.5,1313.55,0
4,0,0,0,7,0,14,1,1,0,0,1,1,1,78.1,1184.7,0
3,0,1,0,0,0,66,1,0,0,1,0,0,0,29.45,1983.15,0
3,0,0,0,1,0,2,1,0,0,0,1,1,1,44.6,97.1,0
4,1,2,0,3,1,70,1,1,0,1,1,1,1,115.15,9045.2,1
3,0,1,0,7,1,49,1,1,0,0,1,0,0,93.65,6254.94,1
5,0,0,0,0,0,3,1,0,70,1,0,0,0,74.45,395.5,0
2,0,0,1,2,0,51,1,1,0,0,1,0,0,84.2,6368.63,1
3,1,2,0,5,0,51,1,1,0,1,1,1,1,83.85,4658.490000000001,1
4,0,2,0,0,0,33,0,0,0,1,0,0,0,25.7,2030.6,0
4,0,0,0,0,1,6,0,0,0,1,0,0,0,19.55,233.78,0
4,1,0,0,8,1,62,1,1,150,0,1,1,1,105.5,7551.7,0
3,0,0,0,3,1,6,1,0,0,0,1,0,0,54.85,496.97,0
4,0,0,0,0,0,49,1,1,0,0,0,0,0,30.2,1453.1,1
1,1,0,0,1,0,53,1,0,0,0,1,1,1,93.9,6684.92,1
3,0,2,0,0,0,60,0,0,0,2,0,0,0,25.0,3869.6499999999996,0
4,1,1,0,0,0,62,1,1,0,1,0,1,1,74.3,7074.51,0
3,0,1,0,5,0,33,1,1,0,0,1,1,1,93.8,3785.16,1
4,0,2,0,2,1,18,0,0,0,1,1,0,0,25.1,1125.96,0
4,0,1,0,10,0,27,0,1,0,1,1,0,0,20.55,1149.22,0
4,1,2,1,9,0,62,1,1,0,1,1,0,1,79.95,6346.1900000000005,1
3,0,0,0,0,0,37,1,1,0,0,0,1,1,101.9,4434.83,1
4,0,2,1,0,0,4,1,1,0,0,0,1,1,94.75,498.4,1
5,0,1,0,0,0,20,0,1,0,1,0,0,0,19.35,651.75,0
4,1,1,0,1,0,49,1,1,0,1,1,0,0,35.8,1782.0,0
2,0,0,0,1,0,5,1,1,0,2,1,1,1,99.15,511.20000000000005,0
3,0,0,0,0,0,18,1,1,0,0,0,0,0,50.3,1603.06,0
4,0,1,0,10,0,35,1,1,0,0,1,1,1,73.45,3129.75,0
3,1,1,0,7,1,56,1,0,110,0,1,1,1,68.75,4334.76,0
3,0,0,0,0,0,1,0,1,0,2,0,0,0,20.15,41.739999999999995,0
1,1,0,0,5,1,20,1,0,0,0,1,1,0,82.4,2290.92,0
3,1,1,0,9,1,52,1,0,0,0,1,1,1,44.25,2252.6,1
5,0,0,0,0,0,16,1,1,0,1,0,0,0,74.75,1298.0,0
1,0,0,0,1,0,3,1,1,0,0,1,0,0,70.3,288.98,0
5,0,2,0,7,1,69,0,0,0,1,1,0,0,19.8,2015.8600000000001,0
3,0,0,0,0,1,12,1,1,0,0,0,1,1,105.3,1479.17,1
3,1,1,0,0,0,50,1,0,10,1,0,1,1,114.35,6791.1,1
4,0,0,0,0,1,3,0,0,0,1,0,0,0,20.85,119.38999999999999,0
2,0,0,1,0,0,3,1,0,0,0,0,0,0,91.05,368.06000000000006,1
4,0,2,0,8,1,30,0,0,0,1,1,0,0,19.3,950.9,0
1,0,0,0,0,0,13,1,1,0,1,0,1,1,99.0,1615.52,0
4,1,1,0,5,1,10,1,0,0,0,1,0,0,70.3,939.8499999999999,0
3,0,1,0,0,0,26,0,1,0,1,0,0,0,20.65,1415.28,0
5,0,0,0,0,0,22,0,1,0,1,0,0,0,20.05,1216.44,0
3,0,0,0,7,1,54,1,1,0,0,1,1,1,86.2,4757.87,1
1,1,0,0,0,0,8,1,1,0,0,0,1,1,103.35,1004.74,0
1,0,0,0,1,0,21,1,1,0,0,1,1,1,102.8,2460.2200000000003,1
3,0,2,0,4,1,70,1,1,150,0,1,1,1,110.2,8225.5,1
3,0,2,0,10,1,16,0,0,0,1,1,0,0,19.7,415.79,0
1,0,0,0,6,0,10,1,0,0,1,1,0,0,55.2,622.45,1
3,0,1,1,0,0,18,1,1,0,1,0,0,0,49.85,1606.0900000000001,0
1,0,0,0,0,0,5,1,1,0,0,0,0,0,85.3,606.75,1
4,1,2,0,0,0,68,1,1,0,0,0,1,1,86.5,6664.75,0
4,1,1,0,6,1,21,1,1,0,0,1,1,1,75.9,2212.3,0
4,0,0,0,0,1,1,1,1,0,0,0,0,0,24.7,24.7,0
1,0,0,1,0,0,2,1,1,0,0,0,0,1,93.85,247.13,0
4,1,2,0,0,0,57,1,1,0,0,0,1,1,74.35,5723.540000000001,1
4,0,1,0,0,0,51,1,1,0,1,0,1,1,56.4,2928.5,1
4,1,2,0,0,0,57,1,1,0,1,0,0,0,74.3,4534.0,1
5,0,0,0,6,1,10,1,1,0,1,1,0,0,55.55,608.6999999999999,1
3,0,2,0,7,0,65,0,0,0,0,1,0,0,19.35,4482.849999999999,0
5,0,1,0,0,0,41,1,1,0,1,0,0,0,56.3,3859.27,0
3,0,0,0,0,0,18,0,0,0,1,0,0,0,19.65,719.3,0
4,0,1,0,8,0,71,1,1,0,0,1,1,1,105.7,9538.96,1
3,1,2,0,1,1,24,1,1,0,1,1,1,1,52.5,1208.15,1
4,0,1,0,0,0,4,0,0,0,1,0,0,0,19.95,95.64,0
5,0,0,0,0,1,1,0,0,0,1,0,0,0,20.75,28.32,0
3,0,0,0,5,0,3,1,1,0,0,1,0,0,29.9,92.25,0
4,1,1,0,0,0,60,1,1,0,0,0,1,1,44.45,2773.9,1
2,0,0,0,0,0,9,1,0,0,1,0,1,1,98.3,1272.34,1
5,1,0,0,0,0,56,1,1,0,0,0,0,0,86.4,7002.799999999999,0
5,0,0,0,0,0,49,1,1,0,0,0,0,0,74.6,4887.53,0
4,0,2,1,0,1,7,1,1,0,1,0,0,0,45.75,603.1800000000001,0
3,1,2,0,10,0,71,1,1,0,1,1,1,1,108.55,9885.869999999999,1
4,1,2,0,5,0,64,1,1,0,1,1,1,1,85.0,6242.799999999999,1
3,0,2,0,0,0,4,0,1,0,1,0,0,0,25.3,155.95,0
3,0,2,0,8,0,53,0,0,0,1,1,0,0,19.9,2936.4300000000003,0
2,0,0,0,0,0,2,1,1,0,0,0,1,1,85.7,197.94,0
5,0,2,0,4,1,46,0,1,0,2,1,0,0,20.1,1622.71,0
1,1,0,0,0,0,34,1,1,0,1,0,1,1,109.8,3858.91,1
3,1,0,1,0,0,55,1,1,0,0,0,0,0,44.85,2479.05,0
4,1,2,0,2,0,72,1,1,10,0,1,1,1,109.65,8386.33,1
2,1,1,0,1,0,58,1,0,0,1,1,0,0,60.3,4562.56,1
4,0,0,0,1,1,55,1,0,0,0,1,1,1,85.5,7017.349999999999,0
3,0,0,0,3,0,52,1,0,0,0,1,0,0,61.35,5491.35,0
3,1,0,0,0,0,20,1,1,30,0,0,0,0,89.1,2388.42,0
4,1,2,0,7,0,63,1,0,0,1,1,0,0,75.55,5106.64,1
3,1,1,0,5,0,64,1,0,0,0,1,0,0,89.45,6575.849999999999,1
4,0,2,0,9,0,70,1,0,0,0,1,1,1,57.8,4038.29,1
3,0,0,0,0,0,2,0,0,0,2,0,0,0,19.5,87.59,0
4,0,0,0,3,0,32,1,1,0,1,1,1,1,98.85,4678.38,0
1,0,0,0,0,0,10,1,1,0,0,0,0,0,74.75,855.9499999999999,0
1,0,0,0,1,0,40,1,1,0,0,1,1,1,101.3,5015.5,0
4,1,1,0,0,0,61,1,1,0,1,0,1,1,115.1,7332.2,1
3,1,2,0,5,0,72,1,0,0,0,1,1,1,105.6,8024.3,1
3,1,2,0,0,0,12,1,0,0,1,0,1,1,49.85,552.1,1
3,0,1,0,0,0,62,1,1,0,0,0,1,1,100.15,8433.609999999999,1
3,0,1,0,0,1,55,0,0,0,1,0,0,0,19.15,2521.6,0
4,0,1,1,0,0,33,0,1,0,0,0,0,0,24.9,951.75,0
1,0,0,0,1,0,12,0,0,0,1,1,0,0,19.0,467.31,0
5,0,1,0,0,0,42,0,0,0,0,0,0,0,25.05,2110.73,0
3,0,0,0,7,1,34,0,0,0,1,1,0,0,20.65,1044.84,0
4,0,0,0,10,1,8,1,1,0,0,1,0,0,54.4,487.58000000000004,0
4,1,0,0,0,1,26,1,0,0,1,0,1,1,45.8,1147.0,0
3,0,1,0,0,0,60,1,1,0,1,0,0,0,70.15,6557.5,1
3,1,2,1,9,0,68,1,1,0,0,1,0,0,41.95,2965.75,1
3,0,2,0,0,0,13,1,0,100,1,0,0,0,35.4,550.4,1
3,1,1,0,10,1,17,1,1,0,1,1,0,0,62.1,1645.2400000000002,0
4,0,2,0,4,0,64,1,1,0,0,1,0,0,76.1,5240.56,1
5,0,1,0,10,0,25,1,1,100,1,1,0,0,38.1,1070.4,1
1,0,0,1,0,0,5,1,1,0,1,0,0,0,75.55,561.3,1
5,0,0,0,0,0,7,1,0,0,0,0,1,1,96.2,961.21,0
4,1,1,0,0,0,68,1,1,0,1,0,0,0,54.45,4858.83,1
5,0,0,0,0,0,18,1,1,0,0,0,0,0,75.6,1668.29,0
1,0,0,0,0,0,4,1,0,0,2,0,0,0,45.65,372.65,0
3,1,2,0,1,0,72,1,1,140,0,1,1,1,82.3,8229.43,1
3,0,0,0,0,0,52,1,1,70,1,0,1,1,83.8,4709.24,1
4,0,2,0,0,1,69,1,1,0,0,0,1,1,99.35,7440.19,0
4,1,2,0,5,1,36,1,0,0,1,1,0,0,40.65,1547.35,1
3,1,1,0,0,0,40,1,0,0,1,0,1,1,62.05,2511.55,1
3,0,0,0,0,0,1,1,1,0,0,0,0,0,75.9,120.46000000000001,0
3,0,0,0,0,0,5,1,1,0,0,0,0,0,68.95,444.75,0
3,1,2,1,0,0,43,1,1,40,1,0,0,0,33.45,1540.25,0
4,1,2,1,1,1,72,1,1,110,1,1,0,1,115.75,10725.31,1
2,1,0,0,1,1,10,1,1,0,0,1,1,1,100.25,1309.45,0
3,0,2,0,0,1,37,0,0,0,0,0,0,0,19.8,1029.8700000000001,0
3,0,0,0,0,0,3,1,1,0,0,0,0,0,70.15,211.08999999999997,0
5,0,1,0,6,1,33,0,1,0,0,1,0,0,19.45,793.63,0
4,1,1,0,7,0,21,1,0,60,1,1,1,1,80.9,2011.6200000000001,1
1,0,0,1,0,0,8,1,1,0,0,0,0,1,92.1,1073.39,1
3,0,0,0,0,0,26,1,0,0,0,0,0,0,45.45,1988.9700000000003,0
1,0,0,0,0,0,6,1,1,0,0,0,1,1,89.5,860.8199999999999,0
4,1,2,0,5,1,71,1,0,0,1,1,1,1,87.25,9742.38,1
5,0,2,0,0,0,69,0,1,0,0,0,0,0,19.3,2671.96,0
3,1,0,0,0,0,8,1,1,10,0,0,0,0,49.85,664.86,0
1,0,0,0,0,0,1,1,0,0,2,0,1,1,35.05,35.05,0
3,1,2,0,5,0,66,1,0,0,1,1,0,0,96.6,8836.55,1
3,1,2,0,3,0,52,1,1,60,1,1,0,0,91.6,5624.84,1
3,1,2,0,8,0,72,1,0,110,0,1,1,1,92.0,9701.279999999999,1
5,0,0,0,0,0,45,1,1,0,0,0,1,1,103.65,5861.6,1
3,1,1,0,0,0,50,1,1,0,1,0,0,0,35.4,1748.9,0
4,1,2,0,0,0,35,1,1,0,1,0,1,1,113.2,4981.55,1
4,0,2,0,0,0,10,0,0,0,1,0,0,0,20.25,334.1,0
3,0,2,1,0,0,2,1,1,0,0,0,0,0,83.8,229.65999999999997,0
2,0,0,0,0,0,6,1,1,0,0,0,1,1,91.1,526.16,0
4,0,2,1,0,0,5,1,1,0,1,0,0,0,71.45,457.25,0
1,1,0,1,0,0,41,1,1,0,0,0,1,1,113.2,5835.45,1
3,1,0,1,0,0,26,1,1,0,1,0,0,0,85.8,3070.8900000000003,0
5,0,2,0,3,1,57,0,0,0,0,1,0,0,19.75,1970.87,0
3,0,1,0,0,0,13,0,0,0,0,0,0,0,19.65,675.49,0
3,0,0,0,1,0,61,1,0,0,1,1,1,1,94.15,6813.38,1
4,1,2,0,0,0,63,1,0,0,1,0,0,0,98.0,7706.51,1
3,1,2,0,0,0,69,1,1,0,1,0,1,1,85.35,7171.83,1
3,0,1,0,0,0,41,0,1,0,2,0,0,0,24.85,2301.31,0
4,1,0,0,0,0,33,1,1,0,0,0,1,1,90.65,3542.68,0
3,1,0,0,0,0,25,1,0,0,0,0,1,1,81.75,2658.8,1
5,0,2,0,1,1,42,1,1,0,0,1,1,1,100.4,4832.849999999999,1
4,1,2,0,10,0,71,1,0,0,1,1,0,0,64.05,4827.3099999999995,1
2,0,0,1,1,0,7,1,1,0,1,1,0,0,70.1,559.67,0
1,1,0,1,0,0,2,1,0,0,1,0,0,0,54.85,155.68,0
1,0,0,1,1,0,57,1,0,0,0,1,0,1,100.6,8145.85,1
5,0,2,0,9,1,40,0,0,0,1,1,0,0,25.25,2080.39,0
3,1,2,0,0,0,54,1,0,80,0,0,1,1,87.1,5816.36,1
4,0,2,0,0,0,35,0,0,0,1,0,0,0,19.25,826.3,0
3,0,0,0,0,0,52,1,0,0,0,0,0,0,94.6,6545.76,1
4,1,1,0,0,0,32,1,0,0,1,0,1,1,74.75,3353.35,0
4,1,0,0,0,0,4,1,1,0,0,0,0,0,50.55,323.93,0
4,0,1,0,10,1,43,0,1,0,1,1,0,0,19.2,1410.48,0
4,0,2,1,1,0,2,1,1,0,0,1,0,0,69.3,219.04000000000002,0
4,0,1,0,10,0,50,1,1,0,0,1,1,1,98.25,6769.65,0
3,1,1,0,2,0,51,1,1,0,1,1,1,1,69.75,4477.95,0
4,0,1,0,0,1,54,1,1,0,0,0,0,0,61.0,3507.69,1
4,0,0,0,0,0,2,0,1,0,0,0,0,0,20.7,67.63,0
5,0,1,0,0,0,70,1,0,0,0,0,1,1,98.9,7425.900000000001,0
3,1,1,0,0,0,26,1,0,0,0,0,0,0,61.55,2570.99,0
4,0,0,0,0,0,1,1,1,0,1,0,0,0,44.0,70.15,0
4,1,1,0,6,0,45,1,0,0,0,1,1,1,78.8,4020.1699999999996,1
4,0,0,0,7,1,12,1,0,0,2,1,0,0,35.5,432.25,0
4,0,0,0,0,0,21,1,1,0,1,0,0,0,36.0,780.15,0
1,1,0,0,0,0,3,1,1,10,1,0,1,1,99.0,397.57,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,20.6,67.86,0
3,0,0,1,0,0,20,1,1,120,0,0,0,1,98.55,2851.6,1
3,1,1,0,3,0,64,1,1,0,1,1,0,0,66.15,6789.9400000000005,0
1,0,0,0,0,0,66,1,1,0,1,0,1,1,105.0,7613.73,1
4,1,2,0,9,1,72,1,0,0,1,1,1,1,117.5,11025.19,1
4,1,1,0,0,0,9,1,0,0,2,0,1,1,50.8,463.6,1
5,1,1,0,0,0,64,1,1,0,1,0,1,1,100.3,7240.6,0
3,0,2,0,1,0,52,1,1,120,0,1,1,1,96.25,7532.93,1
2,0,0,0,1,0,2,1,1,10,0,1,1,1,35.1,78.75,0
3,1,1,0,0,0,59,1,0,0,1,0,1,1,79.85,4900.56,1
2,0,0,1,0,0,1,1,1,0,0,0,0,0,69.65,76.88000000000001,0
5,0,0,0,0,0,27,1,1,130,0,0,0,0,81.3,3061.6400000000003,1
3,1,2,1,0,0,7,1,1,0,0,0,0,0,48.2,414.06,0
5,0,0,0,7,0,25,1,1,0,1,1,1,1,95.7,2433.6,0
3,1,1,0,0,0,67,1,1,0,0,0,1,1,111.3,9441.18,1
4,0,1,0,9,1,58,1,1,0,1,1,1,1,75.2,6351.1,0
5,0,0,0,0,0,9,1,1,0,1,0,0,0,75.2,717.28,0
3,0,0,0,0,0,17,1,1,0,2,0,0,0,25.65,440.2,0
4,0,2,0,1,1,67,1,0,0,1,1,0,0,94.1,7066.6,0
5,0,2,0,1,0,72,0,0,0,1,1,0,0,25.85,4460.63,0
3,0,1,0,0,0,56,1,1,30,0,0,1,1,106.8,7760.48,1
4,0,0,0,0,0,6,1,1,0,0,0,0,0,69.1,546.9,0
3,0,2,0,8,1,57,0,0,0,1,1,0,0,20.75,2812.63,0
3,1,2,0,1,0,68,1,1,0,0,1,0,0,84.7,6246.21,0
1,0,0,0,1,1,47,1,1,0,0,1,1,1,99.35,6222.599999999999,0
5,0,0,0,0,0,10,1,1,0,2,0,0,0,75.75,1175.8,0
5,1,0,1,6,0,30,1,1,0,0,1,0,0,105.7,4186.2,1
3,0,1,0,3,0,46,1,1,130,0,1,1,1,103.15,6252.7699999999995,0
4,1,1,1,3,0,12,1,1,20,0,1,1,1,79.2,1409.65,1
4,1,2,0,1,0,61,1,1,0,1,1,1,1,69.9,4512.79,1
4,1,0,0,2,0,44,1,1,0,1,1,0,0,84.8,4523.55,1
5,0,2,0,8,1,47,0,0,0,1,1,0,0,20.25,2628.85,0
5,0,0,1,10,0,71,1,1,40,0,1,1,1,52.3,3805.05,1
3,1,1,1,10,0,29,1,0,0,0,1,1,1,90.1,3585.5699999999997,1
5,0,1,0,0,0,1,1,0,0,1,0,1,1,74.1,110.14999999999999,1
5,0,0,0,0,1,41,1,0,0,0,0,0,0,45.2,3438.44,0
1,1,0,0,1,0,52,1,0,0,0,1,0,0,84.1,6343.889999999999,0
3,1,1,0,7,0,51,1,1,0,1,1,1,1,96.4,6696.05,0
5,0,2,0,6,1,67,0,0,0,0,1,0,0,24.65,2585.92,0
2,0,0,0,0,0,4,1,1,10,0,0,1,1,44.55,184.3,0
1,1,0,0,0,0,5,1,0,0,0,0,0,0,54.2,326.3,0
1,0,0,0,1,0,50,1,1,0,0,1,0,0,84.4,5882.65,0
1,1,0,0,0,0,6,1,1,0,0,0,1,1,98.15,689.01,1
1,0,0,1,1,0,69,1,1,110,0,1,0,0,89.95,7373.82,0
4,0,2,1,8,0,37,1,0,0,0,1,0,0,90.0,3948.95,1
3,1,2,0,0,0,72,1,0,0,0,0,1,1,113.4,8348.42,1
3,0,2,0,1,0,72,0,0,0,0,1,0,0,20.7,3055.9399999999996,0
5,0,1,0,7,0,59,1,1,0,0,1,1,1,80.1,5889.13,0
4,0,2,0,4,0,70,1,0,110,1,1,0,0,76.1,7710.15,1
5,0,1,0,2,1,19,0,0,0,1,1,0,0,19.9,974.6299999999999,0
4,0,2,0,10,0,71,0,0,0,1,1,0,0,19.85,2686.71,0
5,0,0,0,1,1,10,1,1,0,0,1,1,1,65.5,875.8,0
4,1,0,0,0,0,17,1,1,0,1,0,0,0,55.5,1506.71,0
3,1,2,1,3,0,72,1,1,0,0,1,0,1,114.85,10385.79,1
5,0,1,0,0,0,22,0,0,0,1,0,0,0,20.3,703.02,0
3,1,2,0,1,1,71,1,0,100,1,1,1,1,90.3,7502.71,1
5,0,0,0,0,0,12,1,0,0,0,0,1,1,94.55,1340.11,0
3,1,2,0,10,0,51,1,0,0,1,1,1,1,85.5,6152.38,1
4,0,0,0,0,0,29,1,0,0,0,0,1,1,100.55,3188.18,1
3,1,2,0,0,0,55,1,1,0,0,0,0,0,59.2,3851.25,1
1,0,0,1,1,0,12,1,1,0,0,1,0,1,101.35,1800.55,0
5,0,0,0,0,0,15,0,0,0,1,0,0,0,19.6,897.4499999999999,0
4,0,0,0,0,0,40,1,0,0,0,0,1,1,83.85,4878.65,0
2,0,0,0,0,0,14,1,0,0,0,0,0,0,75.35,1288.31,1
3,0,1,0,0,0,10,0,0,0,1,0,0,0,19.5,382.95000000000005,0
3,0,0,0,0,0,15,1,1,0,0,0,1,1,100.15,1896.05,0
4,0,2,0,7,1,38,0,1,0,1,1,0,0,19.95,2652.6,0
3,0,0,0,0,0,1,1,1,0,1,0,0,0,50.15,70.45,0
1,0,0,0,0,0,9,1,0,10,2,0,0,0,44.95,466.92,0
4,1,1,0,0,1,41,1,0,0,1,0,0,0,70.2,3458.71,1
1,0,0,1,0,0,1,1,0,0,1,0,0,0,25.05,25.05,0
4,1,2,1,0,0,18,1,1,0,1,0,0,0,58.4,1817.02,0
3,1,0,0,0,1,43,1,1,0,0,0,1,1,63.95,2977.8500000000004,0
1,0,0,1,0,0,8,1,1,0,0,0,0,0,81.25,626.11,1
1,0,0,1,0,0,1,0,1,0,0,0,0,0,19.45,42.370000000000005,0
1,0,0,0,0,0,1,1,1,0,0,0,0,0,69.65,98.35000000000001,0
3,0,2,0,1,0,33,0,1,0,1,1,0,0,24.5,1870.48,0
1,0,0,1,8,0,43,1,1,150,0,1,0,1,101.0,5882.15,0
4,0,1,0,7,1,25,0,0,0,1,1,0,0,20.05,846.6,0
5,0,1,0,0,0,36,0,0,0,1,0,0,0,19.55,2108.63,0
3,0,0,0,5,1,30,1,0,120,0,1,0,0,82.05,2875.8999999999996,1
4,0,1,1,10,0,57,1,1,0,0,1,0,0,90.65,7857.139999999999,1
4,0,2,0,10,0,72,1,1,0,0,1,1,1,108.2,8862.28,1
5,0,0,0,3,1,22,1,1,0,0,1,0,0,51.1,1846.92,0
5,0,0,0,0,0,11,1,1,0,0,0,1,1,64.9,865.26,0
3,1,2,0,3,1,70,1,0,0,0,1,0,0,79.7,6328.5,1
4,1,2,0,4,1,65,1,0,0,0,1,1,1,109.3,8198.8,1
4,0,0,0,1,0,56,1,0,40,0,1,0,0,90.55,5313.400000000001,1
3,1,0,0,0,1,4,1,1,0,1,0,1,1,57.2,223.75,1
5,0,1,0,10,0,25,0,1,0,1,1,0,0,26.8,823.55,0
3,0,1,1,1,0,43,1,1,0,0,1,0,0,94.3,4150.52,0
5,0,1,0,0,0,14,1,1,0,2,0,0,0,54.25,1067.6200000000001,0
1,0,0,1,0,1,11,1,1,120,0,0,0,1,95.0,1367.79,0
5,0,0,0,0,0,18,1,0,0,1,0,0,0,74.15,1465.84,0
4,0,2,0,1,1,23,0,0,0,0,1,0,0,20.4,1389.3200000000002,0
4,0,1,0,0,0,32,0,0,0,1,0,0,0,19.8,1936.3400000000001,0
3,0,2,0,0,0,72,1,1,0,0,0,1,1,88.6,9403.07,1
3,0,0,0,0,1,13,1,0,90,0,0,0,0,44.8,692.0500000000001,0
5,0,0,0,1,0,15,1,1,140,0,1,1,1,103.45,1958.8,1
3,1,1,1,0,0,22,1,1,0,2,0,1,1,69.75,2644.96,1
1,0,0,0,1,0,16,1,1,0,0,1,1,1,100.0,2140.0299999999997,0
2,0,0,0,0,0,34,1,1,0,1,0,0,0,70.0,2563.54,0
3,1,1,0,0,0,60,1,0,120,0,0,0,0,64.75,6436.5,1
